dataset,scheme,num_clients,method,test_acc,elapsed_s,seed
rcv1,iid,10,fdr_svm,0.9075,2.89,42
rcv1,dirichlet_a1.0,10,fdr_svm,0.91,2.92,42
rcv1,dirichlet_a0.3,10,fdr_svm,0.9035,2.87,42
rcv1,dirichlet_a0.1,10,fdr_svm,0.9095,2.56,42
rcv1,label_skew,10,fdr_svm,0.911,2.85,42
