dataset,scheme,num_clients,method,test_acc,elapsed_s,seed
rcv1,iid,10,fedavg_svm,0.908,2.31,42
rcv1,dirichlet_a1.0,10,fedavg_svm,0.922,2.18,42
rcv1,dirichlet_a0.3,10,fedavg_svm,0.9075,2.11,42
rcv1,dirichlet_a0.1,10,fedavg_svm,0.9015,1.92,42
rcv1,label_skew,10,fedavg_svm,0.9055,2.1,42
