tag,method,topology,scheme,nodes,cycles,gossip_k,lambda_reg,seed,node,n_local,test_acc,hinge_loss,duality_gap,consensus_err,comm_bytes,components
rcv1,cocoa,random_kout,dirichlet_0.3,10,30,1,0.0001,42,7,2722,0.80675,0.13646796144523066,0.017685264162661862,9.184348404047768,5668320,2
rcv1,cocoa,random_kout,dirichlet_0.3,10,30,1,0.0001,42,8,454,0.78725,0.03353681729342176,-0.23892707179850434,9.184348404047768,5668320,2
rcv1,cocoa,random_kout,dirichlet_0.3,10,30,1,0.0001,42,9,584,0.53825,0.022848412190567966,-0.11553050587406355,9.184348404047768,5668320,2
rcv1,cocoa,random_kout,iid,10,30,1,0.0001,42,0,1600,0.95025,0.12714303311084815,0.021718535896845553,9.855110347753634,5668320,2
rcv1,cocoa,random_kout,iid,10,30,1,0.0001,42,1,1600,0.9475,0.20173864763381097,-0.05066583982479286,9.855110347753634,5668320,2
rcv1,cocoa,random_kout,iid,10,30,1,0.0001,42,2,1600,0.95425,0.13267668030003338,0.037291370896022136,9.855110347753634,5668320,2
rcv1,cocoa,random_kout,iid,10,30,1,0.0001,42,3,1600,0.95125,0.18304468906998386,-0.027497118884347083,9.855110347753634,5668320,2
rcv1,cocoa,random_kout,iid,10,30,1,0.0001,42,4,1600,0.95075,0.20486252022220924,0.01734637536475836,9.855110347753634,5668320,2
rcv1,cocoa,random_kout,iid,10,30,1,0.0001,42,5,1600,0.947,0.15633139827009096,-0.14016346942994784,9.855110347753634,5668320,2
rcv1,cocoa,random_kout,iid,10,30,1,0.0001,42,6,1600,0.94925,0.18595868485358713,-0.041759551861421745,9.855110347753634,5668320,2
rcv1,cocoa,random_kout,iid,10,30,1,0.0001,42,7,1600,0.94475,0.17164312633659246,-0.14265505657101685,9.855110347753634,5668320,2
rcv1,cocoa,random_kout,iid,10,30,1,0.0001,42,8,1600,0.9525,0.18356426118347596,-0.03873050376034701,9.855110347753634,5668320,2
rcv1,cocoa,random_kout,iid,10,30,1,0.0001,42,9,1600,0.951,0.1422853180611748,-0.010855489808918317,9.855110347753634,5668320,2
rcv1,cocoa,random_kout,label_skew,10,30,1,0.0001,42,0,1544,0.89775,0.11545887370671518,-0.032042282888332524,8.25520521106816,5668320,2
rcv1,cocoa,random_kout,label_skew,10,30,1,0.0001,42,1,1656,0.85275,0.08276135295384796,-0.056142240268524074,8.25520521106816,5668320,2
rcv1,cocoa,random_kout,label_skew,10,30,1,0.0001,42,2,1544,0.92625,0.12268518225644105,-0.007443818805765945,8.25520521106816,5668320,2
rcv1,cocoa,random_kout,label_skew,10,30,1,0.0001,42,3,1656,0.77775,0.09259304701552404,-0.034782518080494346,8.25520521106816,5668320,2
rcv1,cocoa,random_kout,label_skew,10,30,1,0.0001,42,4,1544,0.917,0.12556917208322982,0.014606421311201323,8.25520521106816,5668320,2
rcv1,cocoa,random_kout,label_skew,10,30,1,0.0001,42,5,1656,0.57675,0.050205224441540346,-0.0650190255931348,8.25520521106816,5668320,2
rcv1,cocoa,random_kout,label_skew,10,30,1,0.0001,42,6,1544,0.48425,0.014943213229154597,-0.02820202269007254,8.25520521106816,5668320,2
rcv1,cocoa,random_kout,label_skew,10,30,1,0.0001,42,7,1656,0.53325,0.032762053650275305,-0.0736542023875296,8.25520521106816,5668320,2
rcv1,cocoa,random_kout,label_skew,10,30,1,0.0001,42,8,1544,0.551,0.04114230161727821,-0.05949998695725535,8.25520521106816,5668320,2
rcv1,cocoa,random_kout,label_skew,10,30,1,0.0001,42,9,1656,0.55675,0.03934783900154599,-0.05833945010911063,8.25520521106816,5668320,2
rcv1,cocoa_plus,random_kout,dirichlet_0.3,10,30,1,0.0001,42,0,2783,0.63625,0.06596177334927542,0.003223354733201997,10.169421452727391,5668320,2
rcv1,cocoa_plus,random_kout,dirichlet_0.3,10,30,1,0.0001,42,1,2955,0.72375,0.0753053820118247,0.01390680078701903,10.169421452727391,5668320,2
rcv1,cocoa_plus,random_kout,dirichlet_0.3,10,30,1,0.0001,42,2,1718,0.94675,0.13734574056863866,0.02666276532711312,10.169421452727391,5668320,2
