tag,method,topology,scheme,nodes,cycles,gossip_k,lambda_reg,seed,node,n_local,test_acc,hinge_loss,duality_gap,consensus_err,comm_bytes,components
covtype,bdsvm,full,label_skew,10,100,1,0.01,42,0,4109,0.7327,0.6633078536340693,nan,5.27982401455362,16483200,1
covtype,bdsvm,full,label_skew,10,100,1,0.01,42,1,3892,0.7336,0.5448208037520771,nan,5.27982401455362,16483200,1
covtype,bdsvm,full,label_skew,10,100,1,0.01,42,2,4109,0.7335,0.6539767062159684,nan,5.27982401455362,16153536,1
covtype,bdsvm,full,label_skew,10,100,1,0.01,42,3,3892,0.7334,0.5438557428722315,nan,5.27982401455362,16400784,1
covtype,bdsvm,full,label_skew,10,100,1,0.01,42,4,4108,0.7336,0.6618315664733752,nan,5.27982401455362,16400784,1
covtype,bdsvm,full,label_skew,10,100,1,0.01,42,5,3892,0.7335,0.5619168545550808,nan,5.27982401455362,16318368,1
covtype,bdsvm,full,label_skew,10,100,1,0.01,42,6,4108,0.7334,0.6799065795875759,nan,5.27982401455362,16483200,1
covtype,bdsvm,full,label_skew,10,100,1,0.01,42,7,3891,0.7339,0.5428256080631928,nan,5.27982401455362,16318368,1
covtype,bdsvm,full,label_skew,10,100,1,0.01,42,8,4108,0.7351,0.6525081193937248,nan,5.27982401455362,16400784,1
covtype,bdsvm,full,label_skew,10,100,1,0.01,42,9,3891,0.7338,0.5252293706092507,nan,5.27982401455362,16400784,1
covtype,bdsvm,random_kout,dirichlet_0.1,10,100,1,0.01,42,0,111,0.6745,1.087016101245254,nan,21.409456648952364,16483200,2
covtype,bdsvm,random_kout,dirichlet_0.1,10,100,1,0.01,42,1,2160,0.6742,0.3016462687184758,nan,21.409456648952364,16483200,2
covtype,bdsvm,random_kout,dirichlet_0.1,10,100,1,0.01,42,2,11171,0.6613,0.2577682956369678,nan,21.409456648952364,16483200,2
covtype,bdsvm,random_kout,dirichlet_0.1,10,100,1,0.01,42,3,110,0.6676,0.9097371396458411,nan,21.409456648952364,16318368,2
covtype,bdsvm,random_kout,dirichlet_0.1,10,100,1,0.01,42,4,4214,0.6676,0.2845205151229184,nan,21.409456648952364,16483200,2
covtype,bdsvm,random_kout,dirichlet_0.1,10,100,1,0.01,42,5,1,0.6744,1.6662654062191031,nan,21.409456648952364,16400784,2
covtype,bdsvm,random_kout,dirichlet_0.1,10,100,1,0.01,42,6,302,0.6059,0.1578224754659366,nan,21.409456648952364,16483200,2
covtype,bdsvm,random_kout,dirichlet_0.1,10,100,1,0.01,42,7,16592,0.638,1.1298784870828265,nan,21.409456648952364,16400784,2
covtype,bdsvm,random_kout,dirichlet_0.1,10,100,1,0.01,42,8,1060,0.606,0.6069963817734563,nan,21.409456648952364,16400784,2
covtype,bdsvm,random_kout,dirichlet_0.1,10,100,1,0.01,42,9,4279,0.6063,0.6186330284597573,nan,21.409456648952364,16483200,2
covtype,bdsvm,random_kout,dirichlet_0.3,10,100,1,0.01,42,0,746,0.638,1.2042630894442057,nan,21.71677554589815,16483200,2
covtype,bdsvm,random_kout,dirichlet_0.3,10,100,1,0.01,42,1,3023,0.638,0.2767519415717683,nan,21.71677554589815,16483200,2
covtype,bdsvm,random_kout,dirichlet_0.3,10,100,1,0.01,42,2,6249,0.638,0.13591404510459085,nan,21.71677554589815,16483200,2
covtype,bdsvm,random_kout,dirichlet_0.3,10,100,1,0.01,42,3,1084,0.638,0.886231373712079,nan,21.71677554589815,16318368,2
covtype,bdsvm,random_kout,dirichlet_0.3,10,100,1,0.01,42,4,4177,0.638,0.31165728526109254,nan,21.71677554589815,16483200,2
covtype,bdsvm,random_kout,dirichlet_0.3,10,100,1,0.01,42,5,301,0.638,0.7417527120348666,nan,21.71677554589815,16400784,2
covtype,bdsvm,random_kout,dirichlet_0.3,10,100,1,0.01,42,6,10200,0.5886,0.14120302104228785,nan,21.71677554589815,16483200,2
